latitude,longitude,brightness
-28.9529,152.4014,397.8
-26.3909,130.0938,397.8
-25.4858,150.4763,397.7
-23.8227,151.1562,397.6
-15.6084,134.5994,397.6
-12.2702,134.5508,397.5
-27.6169,148.9824,397.5
-30.2841,115.1132,397.4
-14.6503,131.5683,397.3
-22.6583,150.6839,397.3
-21.8262,134.6,397.1
-28.9746,152.5059,397
-26.158,153.0014,397
-17.135,142.5377,396.9
-12.7244,131.0027,396.5
-12.6914,131.767,396.4
-29.7186,152.4667,396.4
-13.229,131.0078,396.3
-16.7855,142.1535,396.1
-13.2363,131.0367,396.1
-17.1663,143.3566,396.1
-26.099,153.0766,396
-32.2592,146.9758,395.7
-13.3397,141.9524,395.7
-12.7995,130.5288,395.6
-15.6161,134.5887,395.6
-12.759,132.0134,395.5
-12.7129,131.6827,395.3
-21.746,134.6583,395.3
-11.3713,130.9313,395.2
-12.1048,132.8343,395.2
-13.0099,130.3622,395.2
-13.4834,130.343,395.1
-14.4671,133.7742,395.1
-12.8205,131.6295,394.9
-17.0048,142.999,394.9
-13.1939,130.7671,394.8
-17.147,143.2478,394.8
-21.7884,134.6835,394.8
-11.6757,130.3035,394.7
-28.9723,152.3941,394.6
-14.5728,126.7475,394.5
-12.8186,131.6172,394.4
-12.1661,141.818,394.3
-29.918,152.2156,394.2
-16.1066,136.7144,394.2
-24.3882,128.7683,394.1
-28.989,152.3583,394
-29.0377,152.2389,394
-15.1929,129.9125,393.9
-16.6476,128.6713,393.9
-17.054,142.8967,393.9
-15.6137,131.4776,393.8
-16.9537,142.3896,393.8
-29.0134,152.4047,393.8
-14.4811,132.3308,393.7
-11.4371,132.425,393.7
-12.8366,130.5098,393.7
-21.829,134.5844,393.7
-13.9285,129.9027,393.6
-30.124,152.3979,393.6
-13.3384,141.9618,393.6
-29.8317,152.1058,393.4
-15.4115,141.909,393.4
-16.2039,136.1496,393.3
-15.055,129.7885,393.2
-13.485,130.3308,393.2
-13.8928,129.8381,393.2
-11.7946,142.2725,393.2
-14.4113,129.586,393.1
-15.4369,135.5348,393.1
-13.8731,129.8568,393.1
-13.2272,131.0215,393.1
-12.9515,130.3477,393.1
-15.6294,131.1769,393.1
-25.9484,150.9365,393
-21.7896,134.674,393
-28.2775,128.443,392.9
-29.5417,153.3192,392.8
-17.1343,142.7044,392.6
-13.1957,130.7555,392.6
-15.634,134.8061,392.6
-29.7683,152.083,392.5
-28.9986,152.3075,392.4
-17.1443,142.5393,392.3
-22.6035,150.6779,392.3
-28.6254,152.5141,392.2
-16.9394,142.3815,392.2
-17.0816,122.3887,392.2
-16.0019,136.6868,392.1
-15.7235,130.6184,392
-11.3727,130.9221,391.9
-17.0538,142.9014,391.9
-16.9692,142.869,391.9
-29.0146,152.3743,391.8
-29.0074,152.2973,391.8
-12.6947,131.7503,391.7
-14.0571,129.8879,391.7
-11.4358,132.4342,391.7
-13.6899,131.0116,391.6
-11.4148,132.0701,391.6
-28.9488,152.5059,391.5
-14.0737,130.7781,391.4
-15.6872,135.0374,391.4
-18.0984,144.8284,391.3
-28.6372,151.9351,391.3
-18.1238,144.8095,391.3
-30.7475,152.0647,391.3
-12.9282,130.7799,391.3
-14.0311,130.8224,391.2
-28.9341,152.2828,391.2
-15.3475,135.2614,391.2
-29.0275,152.4047,391.1
-13.355,132.1088,391.1
-21.7178,119.1541,391
-28.9989,152.3119,391
-29.0501,152.4412,391
-16.9795,142.8672,390.9
-12.7591,130.9547,390.9
-12.8459,130.5111,390.9
-12.8791,130.6809,390.9
-15.5391,134.6833,390.9
-11.3379,130.9074,390.8
-12.8445,130.5209,390.8
-16.2449,136.1847,390.8
-12.2484,133.0695,390.7
-16.1282,136.8582,390.6
-18.1111,144.8088,390.4
-14.0517,130.803,390.4
-13.2549,130.8591,390.4
-13.287,130.754,390.3
-14.3968,132.2636,390.2
-12.4472,130.9712,390.2
-11.3734,132.4691,390.2
-25.9443,150.8676,390.1
-29.133,152.3819,390.1
-14.0753,129.8852,390.1
-21.8177,134.5822,390.1
-15.6354,134.7953,390.1
-29.0807,152.4577,390
-16.2539,136.1861,390
-15.6601,136.056,389.9
-14.4608,129.5638,389.8
-12.7617,132.001,389.8
-11.8212,142.5417,389.8
-12.8305,142.9909,389.7
-13.3024,130.7333,389.6
-29.0111,152.4177,389.6
-21.7179,134.6307,389.6
-15.4765,126.9546,389.6
-30.4953,152.2018,389.5
-11.5322,130.2574,389.4
-12.1641,134.3752,389.4
-26.8058,147.7844,389.4
-13.3748,132.1416,389.4
-26.1416,153.0618,389.3
-15.6665,130.5888,389.2
-26.2972,151.0901,389.2
-16.941,142.3226,389.2
-15.425,135.5175,389.1
-25.9159,150.8376,389.1
-36.4039,149.8871,389.1
-16.1048,144.3985,389.1
-12.8022,130.5092,389.1
-15.6589,130.4664,389.1
-15.5995,134.6008,389.1
-15.3445,130.2045,389
-14.0724,130.7873,389
-12.8418,130.6101,389
-26.8023,147.771,389
-13.3506,132.2993,389
-15.4332,131.0125,388.9
-17.0041,142.4332,388.9
-14.7332,126.4577,388.9
-16.9505,142.5193,388.8
-29.0065,152.5052,388.8
-29.0424,152.2466,388.8
-29.0328,152.2625,388.8
-21.7819,134.5201,388.8
-15.6374,131.1881,388.7
-12.7823,130.5163,388.7
-29.7201,152.4562,388.6
-14.0697,129.8316,388.6
-14.6517,131.5776,388.5
-29.879,152.0232,388.5
-29.0323,152.4816,388.4
-12.653,142.5267,388.4
-21.7826,134.6494,388.4
-31.7505,151.8993,388.3
-16.3956,136.5057,388.3
-12.8009,142.0394,388.3
-16.2149,126.1262,388.2
-15.3692,134.2052,388.2
-28.9635,152.3463,388.2
-29.6502,152.4572,388.1
-21.9219,134.5766,388.1
-15.3429,130.2303,388
-12.4863,135.6171,388
-14.6103,126.5863,387.9
-25.5225,150.4584,387.9
-30.1712,152.201,387.8
-30.2133,152.6388,387.8
-29.8365,152.0835,387.8
-15.537,134.6899,387.8
-11.6673,132.8283,387.7
-28.2791,128.4288,387.7
-15.4878,126.9568,387.7
-20.362,118.9379,387.6
-21.7573,134.6606,387.6
-29.8118,152.0911,387.5
-14.8508,144.3189,387.4
-16.4603,123.8686,387.4
-12.3009,142.0494,387.3
-28.9937,152.3271,387.3
-29.5458,153.259,387.3
-29.5436,153.306,387.3
-13.9382,130.0852,387.1
-12.7475,131.5956,387.1
-15.2923,130.3073,387.1
-12.8629,130.6627,387.1
-17.1357,142.6947,387
-14.5029,126.7528,387
-29.0558,152.4493,387
-30.227,152.5464,387
-29.5214,153.3263,387
-14.1713,129.8301,387
-29.7628,152.0819,387
-29.7732,152.1162,387
-27.6155,148.9934,387
-29.084,152.4116,386.9
-14.1125,129.8807,386.9
-15.4108,141.9154,386.9
-30.1165,152.3857,386.8
-21.816,134.5912,386.7
-12.0519,142.75,386.7
-14.8462,144.3233,386.6
-29.009,152.2867,386.6
-30.2595,152.5651,386.6
-12.5023,131.7413,386.6
-15.6851,135.0591,386.6
-14.7018,131.5131,386.5
-16.9426,142.3349,386.5
-13.0114,130.3526,386.5
-12.7121,141.8518,386.5
-12.4846,135.6306,386.5
-16.9898,142.8653,386.4
-13.2716,130.8391,386.4
-28.9158,152.4271,386.3
-30.1562,152.1563,386.2
-28.9619,152.3569,386.2
-21.7026,134.5065,386.2
-22.734,150.5766,386.1
-13.8771,129.8289,386.1
-29.0231,152.3716,386.1
-17.2197,145.0347,386.1
-21.7374,134.6402,386.1
-17.1015,122.4062,386.1
-16.9513,142.5135,386
-14.0298,130.8316,386
-30.1183,152.3112,386
-11.3435,132.3902,386
-29.8398,152.1603,386
-29.8156,152.1906,386
-13.3634,132.172,386
-29.1559,152.8498,385.9
-15.9599,136.5748,385.9
-28.9817,152.541,385.9
-17.1201,143.1132,385.9
-17.6181,123.2227,385.8
-13.6884,131.0215,385.8
-31.7715,151.9051,385.8
-11.7362,130.5661,385.8
-29.7816,152.0789,385.8
-28.4206,122.595,385.8
-42.7611,147.6926,385.7
-16.2359,136.1833,385.7
-16.9823,143.2382,385.7
-13.7006,131.0395,385.6
-12.2856,134.1456,385.6
-21.8065,134.58,385.6
-30.1734,152.1776,385.4
-14.0401,130.8238,385.4
-16.5046,124.0311,385.4
-14.6283,131.6077,385.3
-29.3166,153.0424,385.2
-21.125,118.8242,385.2
-13.0023,130.3893,385.2
-15.975,144.6159,385.2
-29.9025,152.9129,385.1
-15.3408,130.2243,385.1
-13.3648,132.095,385.1
-29.7919,152.111,385
-29.1482,152.8573,384.9
-15.5249,134.6566,384.8
-30.2021,152.1915,384.7
-14.2059,136.4825,384.7
-12.8793,130.4788,384.7
-15.0677,141.6924,384.6
-16.1164,136.8406,384.6
-14.4661,133.867,384.6
-21.9023,134.6213,384.6
-13.4179,132.3825,384.6
-30.1377,152.3684,384.5
-29.5959,153.2848,384.5
