,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
3704,20,8.9,0,0.55,15.6,4.07,27.8,85
3705,21,6.7,4,0.44,22.05,4.47,20,85
3706,22,7.8,0,0.43,24.67,3.44,22.2,85
3707,23,10,0,0.43,26.04,4,25.6,85
3708,24,8.9,4.5,0.36,25.95,4.6,24.4,85
3709,25,13.3,0,0.33,26.2,4.3,22.2,85
3710,26,10,3.5,0.41,21.16,4.77,20,85.3
3711,27,6.1,0,0.32,26.9,4.53,15.6,87.9
3712,28,6.7,0,0.3,27.17,4.23,23.9,87.9
3713,1,5.6,0,0.28,27.03,4.13,22.8,87.9
3714,2,6.1,0,0.27,26.22,3.96,23.3,87.9
3715,3,6.7,0,0.35,18.11,4.52,26.7,87.9
3716,4,7.8,0,0.3,26.72,3.85,25.6,87.9
3717,5,6.7,0,0.44,15.23,4.68,25,87.9
3718,6,8.9,0,0.46,17.94,2.94,26.7,82.5
3719,7,10,0,0.54,22.57,3.41,26.1,82.2
3720,8,7.8,0,0.5,25.19,3.21,24.4,82.2
3721,9,8.9,0,0.57,22.87,3.23,25,82.2
3722,10,8.9,0,0.75,12,2.7,25.6,82.2
3723,11,10,0,0.54,27.64,3.4,25,82.2
3724,12,10.6,0,0.62,22.1,3.18,27.8,82.2
3725,13,12.2,0,0.53,23.31,3.51,27.8,82.2
3726,14,10,8,0.35,29.37,4.31,21.1,82.2
3727,15,11.1,0,0.33,29.16,5.27,21.7,82.2
3728,16,8.9,0,0.24,29.4,4.53,23.3,82.2
3729,17,8.9,0,0.4,25.77,4.29,26.7,82.5
3730,18,11.1,0,0.34,28.97,3.77,28.9,85
3731,19,12.2,0,0.32,28.9,4.5,28.9,85
3732,20,14.4,0,0.31,28.99,4.37,27.8,85
3733,21,10,11.5,0.3,23.41,4.36,18.9,85.3
3734,22,10.6,1.4,0.26,29.95,4.74,20,87.9
3735,23,6.7,17.5,0.24,29.91,4.65,23.3,88.2
3736,24,6.7,0,0.32,26.54,3.92,25.6,93.5
3737,25,10,0,0.32,29.51,4.07,26.7,93.3
3738,26,11.1,0,0.29,29.77,4.75,27.8,90.7
3739,27,12.2,0,0.33,29.84,4.93,30,90.7
3740,28,13.3,0,0.28,29.94,5.27,31.1,91
3741,29,8.9,37,0.26,29.96,4.95,24.4,95.8
3742,30,7.8,17.5,0.25,30.08,4.69,13.3,111.7
3743,31,10,0.3,0.36,27.98,5.29,16.7,98.9
3744,1,9.4,0,0.32,30.45,5.4,26.7,96.7
3745,2,10,0,0.23,30.88,6.2,27.8,99.2
3746,3,10.6,0,0.23,31.08,4.68,27.2,99.2
3747,4,12.8,0.7,0.26,30.75,5.43,26.7,99.5
3748,5,11.1,0,0.27,30.58,4.68,26.1,102
3749,6,12.2,0,0.29,30.6,4.33,30,102.3
3750,7,11.7,0,0.33,30.24,3.88,31.1,104.3
3751,8,14.4,0,0.35,30.59,4.03,32.2,99.2
3752,9,12.2,0,0.38,27.75,4.49,31.1,100.9
3753,10,14.4,0,0.33,30.46,4.67,30.6,113.4
3754,11,15.6,0,0.43,30.29,3.16,27.9,112.8
3755,12,14.4,0.5,0.62,28.57,2.89,31.1,107.4
3756,13,12.8,1,0.48,30.1,3.22,25.6,104.9
3757,14,13.3,2.5,0.39,30.15,4.45,25,105.2
3758,15,12.2,8.5,0.28,31.72,5,18.9,107.7
3759,16,14.4,0,0.22,32.08,5.13,26.7,107.7
3760,17,13.3,0,0.19,32.01,4.85,24.4,108
3761,18,13.9,5.2,0.21,31.63,4.02,21.1,110.8
3762,19,13.9,0,0.27,28.34,3.41,25.6,113.4
3763,20,12.8,6,0.29,31.52,3.59,27.8,113.1
3764,21,11.1,8,0.36,31.43,3.11,26.7,110.8
3765,22,12.2,0,0.41,30.47,3.5,28.9,113.4
3766,23,14.4,0,0.36,31.17,3.89,30,113.4
3767,24,15.6,0,0.39,29.97,3.47,33.3,113.7
3768,25,16.7,0,0.46,28.88,2.76,33.9,116.8
3769,26,16.7,0,0.46,25.9,2.79,32.2,122.4
3770,27,17.8,1,0.47,28.82,2.21,33.8,127.8
3771,28,16.7,0.5,0.4,31.01,2.95,34.4,130.7
3772,29,13.3,0.5,0.4,28.82,3.43,26.7,132.4
3773,30,14.4,0,0.39,26.54,3.71,35.6,124.4
3774,1,17.8,0,0.42,30.11,2.97,36.7,123
3775,2,16.7,0,0.55,24.91,2.95,34.4,134.4
3776,3,18.9,0,0.49,30.79,4.06,35,144.6
3777,4,16.7,0,0.47,31.12,3.19,34.4,144.6
3778,5,16.7,0,0.59,29.08,2.79,35,145.8
3779,6,18.3,0,0.58,23.88,2.24,35.6,162.4
3780,7,16.1,3.2,0.59,25.64,2.42,35,201.5
3781,8,17.2,0.6,0.64,27.11,2.48,37.2,200.3
3782,9,17.2,0,0.58,29.2,2.05,35.6,211.3
3783,10,17.8,0,0.49,30.92,2.99,38.3,211.3
3784,11,20,0,0.35,31.71,3.38,38.3,221.5
3785,12,21.1,0,0.41,31.56,3.36,40.6,247.7
3786,13,21.7,0,0.4,31.27,3.25,37.8,276.6
3787,14,24.4,0,0.42,31.2,2.99,34.4,307.3
3788,15,20,0,0.45,31.32,2.95,35.6,327.7
3789,16,21.1,13,0.52,29.06,2.25,33.9,310.1
3790,17,16.7,5.5,0.6,29.43,2.14,30,236.4
3791,18,15.6,2,0.59,30.43,2.37,31.1,199
3792,19,16.7,0,0.58,30.56,2.85,28.9,187.5
3793,20,18.9,0,0.47,28.93,3.72,34.4,193
3794,21,16.7,0.5,0.41,31.52,3.92,32.2,194.3
3795,22,15.6,2.2,0.46,31.31,3.45,33.3,179
3796,23,16.7,14,0.56,30.38,3.43,32.2,169.6
3797,24,15.6,0,0.6,29.86,3.05,33,196
3798,25,15.6,0,0.55,29.72,2.94,35.6,224.9
3799,26,20,0,0.47,30.3,2.98,37.2,239.8
3800,27,20,0,0.59,30.25,2.47,36.7,236.4
3801,28,20.6,14,0.59,29.22,2.51,36.1,221.1
3802,29,17.8,9.5,0.52,30.26,2.55,30.6,239.8
3803,30,20,0,0.56,26.73,2.06,31.1,248.9
3804,31,21.1,2.2,0.65,24.73,2.38,32.2,211.3
3805,1,20,0,0.64,22.95,1.86,34.4,229.6
3806,2,21.7,6.5,0.8,22.89,2.41,33.3,310.7
3807,3,21.1,0,0.78,18.48,1.78,32.2,378.1
3808,4,20,4,0.76,8.67,1.39,31.1,445
3809,5,18.9,0,0.78,25.24,2.16,30,375.3
3810,6,16.7,1,0.82,18.78,1.67,24.4,297.6
3811,7,18.9,0,0.78,22.35,2.07,33.3,239.2
3812,8,17.8,0,0.81,20.04,2.11,32.2,221.9
3813,9,18.9,0,0.68,14.56,2.26,34.4,235.3
3814,10,16.1,0.5,0.67,30.02,2.05,33.3,273.2
3815,11,22.2,0,0.69,27.68,2.41,34.4,287.4
3816,12,23.3,0,0.73,26.38,2.67,35.6,339.6
3817,13,21.1,3.5,0.86,21.28,2.4,34.4,398
3818,14,19.4,7.5,0.83,18.62,2.25,34.4,476.2
3819,15,21.1,5.7,0.78,11.75,1.66,31.1,518.7
3820,16,20,2,0.68,20.84,2.3,32.2,494.6
3821,17,21.1,2.5,0.68,29,2.23,31.1,484.7
3822,18,21.1,1,0.74,26.59,2.16,30,447.1
3823,19,22.2,0,0.78,20.51,2.04,34.4,401.9
3824,20,21.1,0,0.71,24.5,2.55,35.6,345.2
3825,21,22.2,0,0.75,15.14,1.94,34.4,378.7
3826,22,23.3,0,0.52,10.36,2.76,35.6,396.3
3827,23,23.3,0,0.62,29.7,2.42,35.6,399.7
3828,24,20,0,0.62,29.7,2.36,27.8,386.6
3829,25,20,5,0.63,28.39,2.6,26.7,360.5
3830,26,21.1,9,0.7,12.85,1.98,34.4,357.7
3831,27,20,7.5,0.71,25.1,2.29,32.8,381
3832,28,21.1,0.5,0.76,17.2,1.85,34.4,396.3
3833,29,24.4,0,0.81,14.34,2.05,35.6,399.7
3834,30,26.7,0,0.77,17.56,2.18,36.7,435.1
3835,1,22.2,1.5,0.76,14.48,1.78,33.3,457.8
3836,2,23.3,0,0.71,23.96,2.59,35.6,492.5
3837,3,24.4,0.5,0.61,26.35,2.55,36.7,517.3
3838,4,23.3,0,0.61,27.89,2.52,30,522.3
3839,5,21.1,0.5,0.66,27.91,2.52,36.7,465.6
3840,6,23.3,2.5,0.85,14.94,2.05,35.6,473.4
3841,7,23.9,0.5,0.81,8.54,1.74,36.1,554.1
3842,8,22.8,2.5,0.74,25.23,1.91,32.8,612.2
3843,9,21.1,3.5,0.72,26.92,2.38,35.6,595.9
3844,10,22.2,1,0.69,26.91,2.23,34.4,588.9
3845,11,21.7,5.5,0.7,26.87,2.4,35,631.2
3846,12,22.2,2.5,0.69,26.87,2.15,32.2,646.5
3847,13,22.2,2.8,0.7,24.56,2.29,33.3,665.2
3848,14,21.1,0,0.66,25.9,2.12,34.4,709.3
3849,15,23.3,1,0.66,19.73,2.55,32.2,668.7
3850,16,22.2,0,0.68,25.12,2.43,33.3,603
3851,17,20,13,0.61,27.03,2.5,28.9,589.6
3852,18,21.1,4.5,0.57,25.88,2.84,32.2,582.5
3853,19,23.3,0,0.58,26.2,2.64,34.4,498.9
3854,20,24.4,2,0.49,25.71,3.04,35.6,533.6
3855,21,23.3,1.3,0.52,26.65,2.73,35,646.3
3856,22,22.2,9,0.48,26.68,3.02,32.2,691.6
3857,23,22.2,0,0.56,26.31,2.63,27.8,706.1
3858,24,22.8,0,0.52,25.96,2.73,32.2,664
3859,25,21.7,0,0.51,25.85,3,34.4,677.4
3860,26,23.3,0,0.5,26.05,2.49,36.1,685.2
3861,27,24.4,0,0.63,23.49,2.43,35.6,702.7
3862,28,22.8,0,0.63,25.44,2.34,36.1,676.7
3863,29,24.4,0,0.42,25.72,3.33,33.3,701
3864,30,21.1,1,0.52,25.31,2.76,32.2,642.7
3865,31,23.3,0.5,0.44,25.59,3.22,34.4,561.9
3866,1,23.3,0,0.4,25.59,3.01,35.6,523
3867,2,23.3,0,0.49,25.14,2.59,35,534.3
3868,3,23.3,0,0.46,24.97,3.05,36.1,565.5
3869,4,22.2,5,0.49,24.87,2.75,26.7,589.6
3870,5,22.2,0.5,0.41,24.76,3.39,28.9,564.1
3871,6,21.7,8,0.31,24.93,3.4,36.7,608.7
3872,7,21.1,3,0.36,24.42,3.39,27.8,659.7
3873,8,21.7,0,0.26,24.8,4.1,34.4,678.9
3874,9,21.1,18,0.31,24.36,3.22,35.6,637
3875,10,21.7,13.5,0.33,24.51,3.25,33.9,722.2
3876,11,22.2,9,0.34,24.36,3.2,33.3,698.4
3877,12,23.3,0.3,0.27,24.49,3.85,34.4,634.2
3878,13,22.2,4.2,0.28,24.32,3.37,31.1,651.2
3879,14,21.1,36,0.28,24.05,3.57,26.7,686.6
3880,15,22.2,0.7,0.19,24.2,4.07,27.2,856.2
3881,16,21.7,2,0.18,24.01,4.23,33.3,818.5
3882,17,23.3,0.5,0.19,23.85,4.05,34.4,760.5
3883,18,21.1,3.5,0.3,23.13,3.55,35.6,733.3
3884,19,23.3,0,0.26,23.31,3.53,34.4,654.8
3885,20,24.4,0,0.22,23.19,3.87,33.3,637
3886,21,23.3,0,0.26,22.91,4.06,34.4,628.5
3887,22,22.2,6.8,0.22,22.89,3.95,32.2,625.7
3888,23,21.1,0,0.36,17.63,3.1,33.3,624.3
3889,24,21.1,0,0.26,22.17,3.73,32.2,574.7
3890,25,22.2,0,0.3,22.23,3.27,34.4,518
3891,26,21.1,0,0.39,21.74,3.33,33.3,493.2
3892,27,23.3,0,0.38,21.78,3.24,34.4,507.4
3893,28,22.8,0,0.33,21.69,3.74,35,506.7
3894,29,23.3,0,0.25,21.96,3.84,33.3,520.8
3895,30,23.9,0,0.24,21.67,4.05,35.6,523
3896,31,23.3,1.2,0.3,21.29,3.4,33.3,514.5
3897,1,22.2,0,0.19,21.36,3.64,36.7,494.6
3898,2,20,0,0.15,21.38,3.69,34.4,457.1
3899,3,19.4,0,0.19,21.13,3.81,33.9,463.4
3900,4,20,13,0.25,20.76,4.02,33.3,468.4
3901,5,19.4,0,0.26,20.76,3.69,34.4,454.9
3902,6,18.9,0,0.22,20.64,3.96,35,391.9
3903,7,18.3,0,0.28,20.51,3.72,33.9,365.6
3904,8,18.9,0,0.21,20.5,3.98,34.4,358.6
3905,9,19.4,0,0.25,20.21,3.53,33.9,356.4
3906,10,20,1.5,0.2,20.1,3.74,33.3,361.4
3907,11,20,0,0.22,19.72,4.01,30,366.6
3908,12,19.4,0,0.21,19.62,3.42,35,323.8
3909,13,20,0,0.24,19.57,3.58,33.9,342.3
3910,14,17.8,0,0.2,19.63,3.65,34.4,292.7
3911,15,14.4,0,0.21,19.19,4.16,33.9,272.8
3912,16,15.6,0,0.21,19.28,3.88,32.2,239.2
3913,17,18.9,0,0.22,18.95,4.05,34.4,227.9
3914,18,16.7,0,0.21,18.89,3.82,33.3,208
3915,19,17.8,0,0.25,18.61,3.56,33.9,197.3
3916,20,16.7,0,0.21,18.66,3.14,34.4,199.5
3917,21,15.6,0,0.31,18.31,3.25,33.3,207.5
3918,22,17.8,0,0.32,17.96,3.23,34.4,207.5
3919,23,16.7,0,0.33,17.85,4.03,33.3,202.4
3920,24,17.8,0,0.28,17.81,3.71,32.2,203.5
3921,25,18.3,1.5,0.26,17.49,3.84,33.9,200.7
3922,26,18.9,0,0.41,14.9,3.62,31.1,194.4
3923,27,16.7,0,0.42,14.53,3.78,32.2,170.6
3924,28,15.6,0,0.42,16.69,3.91,35,158.2
3925,29,15.6,0,0.4,17.01,3.81,35.6,159.9
3926,30,16.1,0.5,0.3,17.38,4.36,35,158.7
3927,1,20,0,0.32,17.28,4.17,32.2,157.6
3928,2,17.8,0,0.25,17.24,4.1,33.3,150.2
3929,3,18.9,0,0.23,17.12,4.11,32.2,149.9
3930,4,18.3,0,0.24,16.75,3.94,33.9,147.4
3931,5,14.4,0,0.28,16.87,4.36,32.2,147.4
3932,6,15.6,0,0.26,16.66,4.68,32.8,147.4
3933,7,16.7,0,0.27,16.72,4.16,31.1,147.1
3934,8,16.1,0,0.17,16.82,3.8,34.4,144.6
3935,9,16.7,0,0.08,16.7,3.85,33.9,144.6
3936,10,16.1,0,0.23,16.56,4.45,33.3,144.3
3937,11,16.7,0,0.23,16.19,4.46,32.2,141.7
3938,12,15.6,0,0.27,16.08,3.62,31.1,141.7
3939,13,13.3,0,0.2,16.07,3.29,32.2,141.4
3940,14,13.3,0,0.14,16.04,3.63,31.1,138.6
3941,15,13.3,0,0.17,16.06,4.52,30,136.1
3942,16,14.4,0,0.18,15.87,5.04,31.1,136.1
3943,17,13.3,0,0.26,15.82,3.95,30,135.8
3944,18,12.8,0,0.2,15.59,4.17,29.4,133.2
3945,19,12.2,0,0.17,15.52,3.69,30.6,133.2
3946,20,13.3,0,0.22,15.29,4.14,31.7,132.9
3947,21,13.3,0,0.16,15.02,3.55,31.1,130.4
3948,22,12.2,0,0.17,15.11,4.06,30,130.4
3949,23,13.3,0,0.14,15.25,3.81,32.2,130.1
3950,24,12.2,0,0.18,13.9,3.78,31.1,127.6
3951,25,13.3,0,0.23,14.6,3.85,32.2,127.6
3952,26,13.3,0,0.33,11.49,3.14,30,127.6
3953,27,14.4,0,0.29,14.55,3.82,31.1,127.6
3954,28,14.4,0,0.28,14.74,3.81,30,127.6
3955,29,13.3,0,0.3,14.46,3.27,31.1,127.6
3956,30,13.3,0,0.36,14.13,3.44,30,127.6
3957,31,13.3,0,0.35,14.41,4.18,28.9,127.6
3958,1,12.2,0,0.21,14.43,3.95,30,127.6
3959,2,13.3,0,0.35,14.32,3.37,31.1,127.6
3960,3,14.4,0,0.46,13.3,3.5,28.3,127.6
3961,4,12.2,26,0.27,14.31,4.01,25.6,127.6
3962,5,11.1,0,0.39,13.76,3.03,22.2,127.6
3963,6,11.1,0,0.66,8.86,2.23,27.8,127.6
3964,7,8.9,0,0.68,3.13,4.02,21.1,127.6
3965,8,8.3,0,0.43,13.93,4.26,24.4,127.6
3966,9,8.9,0,0.44,13.81,3.17,26.7,127.3
3967,10,7.8,0,0.63,12.16,2,27.2,124.7
3968,11,7.2,0,0.55,12.54,5.44,27.8,124.7
3969,12,8.9,0,0.42,14.4,5.28,26.7,124.7
3970,13,8.3,0,0.57,14.27,4.87,27.2,124.4
3971,14,7.8,0,0.55,14.2,4.44,29.4,121.9
3972,15,8.9,0,0.45,14.08,4.72,30,121.9
3973,16,8.9,0,0.44,14.12,4.61,28.3,115.4
3974,17,8.3,0,0.47,14.08,4.73,26.7,113.4
3975,18,7.8,0,0.48,13.86,4.77,27.2,112.5
3976,19,8.9,0,0.51,14.3,5.08,26.7,110.5
3977,20,7.8,0,0.52,14.37,4.78,27.8,110.5
3978,21,8.9,0,0.5,14.3,4.31,25.6,105.7
3979,22,10,0,0.5,14.18,5.38,26.7,104.9
3980,23,8.9,0,0.52,0.09,6.83,24.4,104.9
3981,24,10,0,0.48,14.36,4.37,25.6,104.9
3982,25,8.9,0,0.51,14.22,4.78,27.2,104.9
3983,26,7.8,0,0.53,14.36,3.93,24.4,104.9
3984,27,6.7,0,0.53,14.26,3.55,25.6,101.5
3985,28,7.8,0,0.48,14.4,3.87,23.3,98.6
3986,29,8.9,0,0.49,14.16,3.73,24.4,93.5
3987,30,6.7,0,0.43,14.5,4.12,22.2,93.5
3988,1,5.6,0,0.41,14.69,5.28,24.4,93.5
3989,2,5.6,0,0.42,14.91,4.01,22.2,93.5
3990,3,6.7,0,0.41,11.59,4,23.3,93.5
3991,4,7.2,0,0.48,14.82,4.56,22.2,91.3
3992,5,7.8,0,0.49,14.82,3.29,25.6,90.7
3993,6,6.7,0,0.67,5.07,2.73,25,90.7
3994,7,6.1,0,0.66,6.04,2.97,22.8,90.1
3995,8,6.7,0,0.75,3.22,3.22,23.9,87.9
3996,9,6.7,0,0.5,15.01,4.12,24.4,87.9
3997,10,4.4,0,0.51,15.09,3.75,20,87.9
3998,11,6.7,0,0.61,12.13,3.82,22.2,85.6
3999,12,6.7,0,0.57,14.14,4.25,18.9,85
4000,13,5.6,0,0.52,15.38,4.99,21.1,85
4001,14,7.8,0,0.66,16.17,5.42,22.2,85
4002,15,7.2,6.5,0.67,15.97,4.83,18.9,85
4003,16,4.4,13,0.67,16.1,4.24,10,85
4004,17,2.8,0,0.65,16.19,3.95,15.6,85
4005,18,5.6,0,0.72,15.84,2.81,17.8,85
4006,19,5.6,12,0.74,13.3,2.34,18.3,85
4007,20,4.4,0,0.78,5.22,3.52,12.2,84.5
4008,21,4.4,0,0.65,16.61,4.78,20,82.2
4009,22,5,0,0.63,16.58,4.34,22.2,82.2
4010,23,5.6,0,0.57,16.95,4.47,24.4,82.2
4011,24,4.4,0,0.53,17.09,4.22,23.3,82.2
4012,25,5.6,0,0.39,17.14,3.71,22.2,82.2
4013,26,4.4,0,0.39,17.2,4.44,21.1,82.2
4014,27,3.3,0,0.39,17.79,5.62,14.4,82.2
4015,28,4.4,0,0.31,15.61,3.98,20,82.2
4016,29,3.3,0,0.49,15.65,2.71,21.1,82.2
4017,30,3.3,0,0.66,8.91,4,22.2,82.2
4018,31,3.3,0,0.9,6.89,4.36,21.1,82.2
4019,1,4.4,0,0.91,12.06,2.96,22.5,82.2
4020,2,3.3,0,0.85,9.71,4.96,21,82.2
4021,3,3.2,0,0.72,18.05,5.13,26,82.1
4022,4,3.3,0,0.87,14.9,1.72,21.1,81.5
4023,5,3.3,0,0.78,6.99,4.88,20,81.5
4024,6,2.8,0,0.68,18.68,4.27,18.9,81.5
4025,7,4.4,0,0.59,18.92,4.57,21.1,81.4
4026,8,3.9,0,0.62,18.5,3.55,19.4,80.8
4027,9,4.4,0,0.56,17.71,4.06,22.2,80.8
4028,10,4.4,0,0.57,14.88,4.88,20.6,80.7
4029,11,3.3,0,0.49,19.56,4.71,23.3,80.7
4030,12,5,0,0.49,19.67,4.09,22.2,71.6
4031,13,4.4,0,0.54,12.07,3.21,24.4,80.1
4032,14,7.2,7,0.54,18.27,3.83,18.9,79.7
4033,15,5.6,8.5,0.75,5.63,3.99,11.1,76.5
4034,16,5.6,8,0.56,10.64,4.26,14.4,76.5
4035,17,4.4,0,0.58,18.76,3.06,16.7,76.5
4036,18,5.6,0.2,0.53,17.6,4.3,15.6,76.5
4037,19,4.4,0,0.48,19.93,3.16,17.8,76.5
4038,20,4.4,4.4,0.45,20.81,4.52,16.7,76.5
4039,21,3.3,3,0.42,20.93,3.32,14.4,76.5
4040,22,3.3,0,0.83,5.13,3.25,18.9,76.5
4041,23,4.4,0,0.88,1.7,2.34,22.2,76.5
4042,24,3.3,0,0.57,21.49,4.25,18.9,76.4
4043,25,3.3,0,0.43,21.93,4.82,20,75.1
4044,26,4.4,0,0.43,22.03,5.08,16.7,75.1
4045,27,3.3,19,0.42,22.27,4.63,15.6,75.2
4046,28,1.1,3.5,0.38,18.65,3.29,20,75.8
4047,29,2.2,0,0.42,21.85,4.1,14.4,75.6
4048,30,1.7,0,0.56,20.01,3.29,17.8,73.7
4049,31,3.3,0,0.52,16.49,4.83,21.1,73.7
4050,1,3.3,0,0.27,22.85,4.14,17.2,73.7
4051,2,4.4,0,0.33,22.37,3.99,17.8,73.6
4052,3,4.4,0,0.31,23.47,4.29,22.2,73
4053,4,5,0,0.35,23.21,3.92,23.9,73
4054,5,5,0,0.33,23.62,4.44,22.8,73
4055,6,7.2,7.4,0.35,23.7,4.11,21,73.1
4056,7,7.8,4.8,0.32,23.72,4.45,13.3,73.7
4057,8,5,38,0.31,23.64,4.52,17.8,74.5
4058,9,5.6,20.2,0.3,23.99,4.34,14.4,81
4059,10,6.1,15.5,0.26,23.98,3.42,11.1,82.2
4060,11,7.8,0,0.32,23.54,3.46,20,82
4061,12,5.6,24.5,0.31,23.45,3.71,13.3,81.3
4062,13,5,0,0.32,24.16,3.89,13.3,84.6
4063,14,6.1,0,0.4,24.14,3.51,24.4,80.3
4064,15,6.7,0,0.38,22.94,3.94,26.6,76.5
4065,16,7.8,0,0.26,25.54,4.15,24.4,76.5
4066,17,11.1,0,0.28,25.75,4.24,23.9,76.5
4067,18,7.8,0,0.29,24.98,3.65,21.1,76.5
4068,19,8.9,0,0.28,25.78,4.33,22.2,76.5
4069,20,8.9,0,0.33,25.45,3.52,24.4,76.5
4070,21,10,0,0.42,24.99,3.7,24.4,76.5
4071,22,8.9,0,0.31,26.07,3.77,26.7,76.5
4072,23,10,6,0.23,26.62,4.71,18.9,76.5
4073,24,10,0,0.22,26.65,3.92,21.1,76.5
4074,25,11.1,16.7,0.27,26.26,3.91,24.4,76.5
4075,26,5.6,0,0.19,26.21,4.25,28.3,76.5
4076,27,6.7,0,0.29,24.36,3.97,23.3,76.5
4077,28,6.1,0,0.28,22.71,3.57,25.6,76.5
4078,1,7.8,12.8,0.3,26.57,3.5,15,76.5
4079,2,7.8,25,0.25,27.15,3.7,14.1,77.8
4080,3,5,48,0.33,24.81,3.48,10.6,94.2
4081,4,6.7,0,0.33,22.98,3.76,23.3,105.2
4082,5,6.7,0,0.25,27.22,4.14,23.9,97.5
4083,6,6.1,0,0.25,27.45,4,24.4,99.8
4084,7,7.8,0,0.24,26.79,4.14,24.8,90.7
4085,8,11.1,0,0.18,26.79,3.77,25,90.4
4086,9,11.7,0,0.22,26.14,3.12,22.2,87.9
4087,10,10,16,0.19,26.65,3.39,25.6,87.9
4088,11,8.9,5.5,0.21,28.78,4.44,24.4,88.5
4089,12,10,0,0.16,28.87,3.93,30,93.8
4090,13,11.7,0,0.19,28.94,3.92,27.8,96.7
4091,14,10.6,0,0.28,24.36,3.84,28.3,99.5
4092,15,10,0,0.23,28.66,4.03,30,100.6
4093,16,10.6,0,0.25,27.77,4.08,31.1,100.3
4094,17,11.1,0,0.39,19.32,4.37,32.2,99.5
4095,18,11.7,0,0.53,16.03,3.48,33.3,102.6
4096,19,10.6,0,0.32,29.72,3.89,33.9,107.7
4097,20,12.2,0,0.28,28.46,4.25,35,108
4098,21,14.4,0,0.33,23.93,4.1,33.3,110.8
4099,22,13.3,2,0.2,30.2,4.07,34.4,113.7
4100,23,15.6,0,0.34,28.09,4.29,32.2,116.5
4101,24,14.4,0,0.31,26.31,3.92,31.1,116.2
4102,25,13.3,5.5,0.29,28.88,3.52,28.9,115.9
4103,26,12.2,1,0.23,30.17,4.31,21.1,113.1
4104,27,10,0,0.28,29.8,3.6,32.2,110
4105,28,10,0,0.23,30.01,4.65,31.1,105.2
4106,29,13.3,0,0.24,29.1,4.54,32.2,108
4107,30,12.2,0,0.22,30.18,4.53,33.3,110.8
4108,31,14.4,0,0.23,30.47,4.65,34.4,114.2
4109,1,13.9,3.6,0.21,30.49,4.47,32.8,122.2
4110,2,12.2,5.4,0.19,30.81,4.74,26.7,124.7
4111,3,11.1,0,0.18,31.34,4.51,28.9,124.1
4112,4,12.2,0,0.12,30.9,3.54,33.3,119
4113,5,13.3,0,0.19,28.43,3.88,34.4,119
4114,6,15.6,0,0.22,30.67,3.65,35,119.3
4115,7,16.7,1.4,0.27,30.54,3.96,33.3,121.6
4116,8,12.2,3.6,0.21,31.04,3.91,31.1,119.9
4117,9,13.3,1,0.16,31.75,3.68,28.9,127.3
4118,10,11.1,1,0.13,31.73,4.41,27.8,124.4
4119,11,12.2,0,0.14,31.42,3.78,28.9,122.2
4120,12,11.7,0,0.13,32.23,3.9,31.1,126.4
4121,13,14.7,0,0.13,32.29,4.07,32.2,127.6
4122,14,15.6,0,0.15,31.57,4.29,33.3,129.3
4123,15,16.7,0,0.17,31.46,4.16,34.4,148
4124,16,16.7,0,0.2,31.29,4.14,33.3,174.6
4125,17,17.8,0,0.19,31.82,4.26,35,163.8
4126,18,18.9,0,0.2,31.24,4.51,35.6,157.6
4127,19,16.7,0,0.17,32.06,4.05,36.7,145.1
4128,20,17.8,0,0.23,31.58,3.97,37.8,151.4
4129,21,18.9,0,0.25,31.61,3.94,36.7,165
4130,22,20,0,0.33,29.33,3.79,37.8,172.3
4131,23,20,0,0.3,31.22,3.82,38.9,194.4
4132,24,17.8,2.8,0.23,31.86,3.99,38.3,210.3
4133,25,13.3,43,0.24,31.75,3.89,21.1,214.9
4134,26,11.1,34,0.26,31.36,3.82,15.6,282.7
4135,27,12.2,0,0.31,26.18,3.27,31.1,255.7
4136,28,15.6,0,0.21,31.85,4.26,38.3,209.2
4137,29,14.4,5.6,0.19,32.1,4.28,30.6,188.2
4138,30,13.9,0,0.18,32.19,4.39,32.2,175.7
4139,1,16.7,0,0.16,32.39,3.73,32.2,176.3
4140,2,18.9,0,0.25,31.89,3.24,35.6,182.5
4141,3,16.7,2.4,0.22,31.98,3.86,34.4,194.4
4142,4,16.7,0,0.18,32.25,4.14,36.7,210.9
4143,5,18.9,0,0.17,32.2,3.46,38.9,229
4144,6,19.4,0,0.25,31,3.53,38.3,316.8
4145,7,17.8,0,0.23,29.9,3.57,36.7,380.5
4146,8,18.9,0,0.18,32.25,4.04,38.9,368.5
4147,9,20,0,0.22,31.41,3.21,40,389
4148,10,21.1,0,0.27,31.51,4.01,41.1,465.6
4149,11,20,0,0.2,32.3,3.64,40,520.1
4150,12,20,0,0.35,29.76,3.3,42.2,565.5
4151,13,22.2,0,0.39,31.39,3.49,41.1,614.4
4152,14,21.1,0,0.27,28.55,4.35,42.2,673.2
4153,15,20,5.4,0.17,32.22,4.38,40,690.2
4154,16,21.1,0,0.3,31.66,3.48,42.2,805.4
4155,17,21.1,0,0.34,31.14,3.62,41.1,932
4156,18,20,0,0.3,31.71,3.2,40,1039.7
4157,19,20,0,0.6,29.7,2.83,41.1,1072.6
4158,20,16.7,4.8,0.68,29.4,2.15,40.6,846
4159,21,20,0,0.75,20.33,2.11,37.8,761.1
