,,Tmin,Rainfall,RH,Solar,Wind,Tmax,Discharge
151,31,17.8,0,0.39,30.89,3.92,33.3,557.6
152,1,16.7,0,0.31,31.17,4.4,32.2,495.9
153,2,15.6,0,0.32,31.38,3.92,34.4,505.1
154,3,20,0,0.31,31.23,3.56,33.9,583.1
155,4,21.1,0.5,0.22,31.97,4.1,34.4,678.7
156,5,20.6,0,0.21,32.1,4.01,33.9,859.1
157,6,21.1,0,0.23,31.94,4.01,33.3,1025.9
158,7,23.3,0,0.21,31.95,3.64,34.4,1174.6
159,8,22.2,0,0.17,31.94,4.13,35,1313.5
160,9,25.6,0,0.24,31.44,3.81,34.4,1458.3
161,10,18.9,3.5,0.33,30.78,3.29,35,1577.3
162,11,20,0,0.39,29.89,3.34,32.2,1562
163,12,16.7,0,0.37,29.91,3.71,26.7,1097.3
164,13,17.8,0,0.36,31.41,3.74,35.6,928.4
165,14,23.3,0,0.32,31.43,3.43,37.8,1055.3
166,15,21.1,0,0.25,32.03,3.43,34.4,1187.4
167,16,22.2,0,0.29,32.24,3.52,33.3,1279.5
168,17,21.1,6,0.24,32.24,3.69,35.6,1402.2
169,18,18.9,0,0.22,32.19,4.02,30,1453.2
170,19,16.7,7.5,0.24,32.18,3.89,34.4,1306.4
171,20,16.1,2.5,0.19,32.4,3.89,25.6,1109.5
172,21,17.8,0,0.21,32.06,3.76,30.6,840.8
173,22,20,0,0.19,31.92,3.67,34.4,680.1
174,23,22.2,0,0.21,31.64,3.87,35.6,832.6
175,24,21.1,0,0.26,31.23,3.75,35,1022.5
176,25,22.2,0,0.28,31.03,4.01,36.7,1098.4
177,26,21.7,0,0.23,31.43,3.69,35.6,1186
178,27,22.2,0,0.26,31.48,3.86,36.7,1152
179,28,21.1,0,0.23,31.3,3.4,37.2,1232.7
180,29,23.3,0,0.23,31.42,3.89,38.9,1282.3
181,30,22.8,0,0.26,31.34,3.83,38.3,1282.3
182,1,24.4,0,0.19,31.58,4.03,38.9,1351.8
183,2,25.6,0,0.36,29.99,3.18,36.7,1417.5
184,3,24.4,0,0.25,30.85,3.81,37.8,1451.5
185,4,25.6,0,0.18,31.28,3.5,38.3,1545
186,5,24.4,0,0.28,31.06,3.53,36.7,1563.7
187,6,25,0,0.38,30.79,3.42,36.1,1461.7
188,7,23.3,0,0.31,30.63,3.96,35.6,1337.6
189,8,23.9,0,0.24,31.36,3.48,36.7,1159.1
190,9,23.9,0,0.29,30.52,3.37,37.2,1087.1
191,10,23.3,0,0.44,30.1,3.13,35.6,1089.3
192,11,23.3,0,0.67,26.36,2.64,32.2,1071.2
193,12,22.8,0,0.78,20.13,2.25,36.7,1023.6
194,13,22.2,0.5,0.73,22.89,2.31,35,1070.1
195,14,22.8,3,0.68,26.23,2.65,26.7,1154.8
196,15,22.2,0,0.57,25.65,2.87,33.3,1074.6
197,16,22.2,0,0.41,30.05,3.12,36.7,1093.9
198,17,23.3,0,0.54,27.2,2.99,34.4,1157.6
199,18,23.9,0,0.48,29.35,2.88,35,1194.5
200,19,23.3,0,0.37,29,3.6,33.9,1320.6
201,20,22.8,0.4,0.29,29.6,3.46,34.4,1351.8
202,21,22.2,0,0.33,28.76,2.78,31.1,1374.4
203,22,25.6,0,0.58,29.07,2.73,34.4,1242.6
204,23,24.4,0,0.76,21.35,2.17,35.6,1195.9
205,24,25.6,0,0.63,28.24,2.68,36.7,1161.9
206,25,22.2,12.2,0.54,28.52,2.99,36.1,1076.9
207,26,21.7,0,0.43,29.03,3.19,35,1031.5
208,27,24.4,0,0.57,28.11,2.66,34.4,978.3
209,28,25.6,0,0.76,25.18,1.92,36.7,1011.1
210,29,24.4,0,0.69,27.83,2.03,35.6,1056.5
211,30,22.8,2.8,0.7,27.68,2.26,33.9,1076.9
212,31,23.3,0,0.7,27.61,2.03,36.7,991.9
213,1,24.4,0,0.72,26.93,2.03,33.9,1047.4
214,2,23.3,1,0.67,27.55,2.62,32.8,1049.7
215,3,24.4,0,0.65,9.53,3.19,35.6,1008.9
216,4,23.3,0,0.56,28.19,2.69,36.1,926.1
217,5,22.2,4.7,0.52,28.23,2.67,26.7,870.3
218,6,22.8,3,0.48,28.24,2.64,33.3,789.7
219,7,23.3,2.4,0.54,27.47,2.95,35,768
220,8,22.8,0,0.61,26.34,2.94,35.6,755.2
221,9,24.4,0,0.66,23,2.4,34.4,804
222,10,23.3,1,0.72,23.66,2.29,33.3,729.7
223,11,17.8,8.5,0.71,24.34,2.34,24.4,629.1
224,12,18.9,0,0.75,21.79,2.26,33.3,594.4
225,13,21.1,0,0.77,14.95,1.94,34.4,520
226,14,22.2,0,0.71,18.25,2.55,35,522.8
227,15,22.8,0,0.68,22.35,2.28,35.6,580.2
228,16,22.2,9,0.78,5.45,2.3,32.2,630.5
229,17,21.1,0.5,0.75,10.15,1.15,35,690.8
230,18,22.2,0,0.71,13.16,1.28,29.4,712.7
231,19,24.4,0,0.73,22.04,2.33,34.4,705.1
232,20,23.3,1,0.85,21.67,1.99,32.2,723.8
233,21,22.2,15.9,0.87,17.98,1.94,30,739.1
234,22,21.1,8.2,0.76,15.09,1.94,27.8,757.8
235,23,20,39,0.69,24.38,2.12,27.2,756.9
236,24,20,4,0.68,24.49,2.14,24.4,704.2
237,25,21.1,1.5,0.81,17.86,1.73,31.1,655.3
238,26,20.6,1.5,0.79,22.48,2.11,24.4,680.1
239,27,22.2,0,0.71,24.6,2.21,28.9,621.3
240,28,22.2,1.4,0.71,24.5,2.33,31.1,641.2
241,29,21.7,1,0.75,22.61,2.46,30.6,668.1
242,30,20,7,0.74,24.05,2.26,27.2,676.6
243,31,21.1,3.9,0.69,24.04,2.15,26.7,663.8
244,1,22.2,0.4,0.58,22.8,2.86,30,666
245,2,21.1,3.9,0.49,24.42,3.52,32.2,659.6
246,3,23.3,0,0.59,24.56,2.69,31.1,651.8
247,4,23.3,0.4,0.63,23.77,3.06,33.3,636.9
248,5,22.2,0,0.65,24.01,2.31,32.2,618.5
249,6,21.1,3,0.64,22.61,2.2,31.1,593
250,7,22.2,0,0.77,18.89,2,32.2,572.4
251,8,24.4,0,0.73,22.14,2.11,31.1,566.1
252,9,24.4,0,0.58,20.93,2.83,31.1,554.7
253,10,22.2,0,0.61,23.2,2.32,32.2,529.9
254,11,29.4,8,0.52,23.47,2.68,32.2,512.9
255,12,23.3,0,0.4,23.28,3.37,31.7,491.7
256,13,24.4,0,0.29,23.64,3.78,32.8,500.2
257,14,23.3,0,0.34,23.44,3.29,33.3,498.8
258,15,21.1,6.5,0.31,23.31,3.54,30,506.6
259,16,20,7.3,0.37,21.9,3.61,28.9,495.9
260,17,18.9,0,0.31,22.8,3.77,31.1,468.3
261,18,20,0,0.29,22.9,3.56,31.7,426.5
262,19,21.1,0,0.31,22.64,3.93,29.4,384
263,20,18.9,0,0.26,22.46,3.76,32.2,364.2
264,21,17.8,0,0.24,22.46,3.97,32.8,354.9
265,22,18.3,0,0.17,22.46,3.92,29.4,331.6
266,23,18.9,0,0.14,22.68,3.89,33.3,304.6
267,24,16.7,0,0.12,22.72,4.24,32.8,286.9
268,25,16.7,0,0.1,22.64,4.44,33.9,282
269,26,17.8,0,0.15,22.27,4.24,32.2,275.6
270,27,16.7,0,0.13,22.03,3.85,33.9,269.2
271,28,16.7,0,0.14,21.26,3.43,32.2,263
272,29,18.3,0,0.18,21.25,3.6,33.3,260.7
273,30,16.7,0,0.18,21.16,3.46,26.7,257.9
274,1,15.6,0,0.19,21.17,3.84,31.1,252.2
275,2,13.9,0,0.21,20.93,3.81,30.6,244.8
276,3,15.6,0,0.17,20.93,3.93,35,237.5
277,4,16.7,0,0.16,20.84,3.8,33.9,231.8
278,5,16.1,0,0.12,20.7,3.98,33.3,223.3
279,6,16.7,0,0.1,20.71,3.95,34.4,220.5
280,7,17.8,0,0.14,20.27,3.98,32.2,215.4
281,8,16.7,0,0.17,20.06,3.96,33.9,214.8
282,9,16.1,0,0.26,19.5,3.82,27.8,209.7
283,10,15.6,0,0.2,19.8,3.98,28.9,209.1
284,11,15.6,0,0.2,19.74,3.96,31.1,203.5
285,12,14.4,0,0.2,19.52,3.86,30,198.4
286,13,14.4,0,0.17,19.39,3.56,29.4,197.8
287,14,13.3,0,0.17,19.14,3.98,30,192.7
288,15,13.3,0,0.24,18.9,4.13,31.1,192.1
289,16,12.8,0,0.21,18.92,3.82,30.6,186.5
290,17,12.2,0,0.17,18.85,4.14,26.7,180.8
291,18,13.3,0,0.17,18.77,4.1,30,175.1
292,19,12.8,0,0.25,18.33,3.14,25.6,170
293,20,14.4,0,0.24,18.08,3.82,29.4,170
294,21,14.4,0,0.21,18.09,3.54,28.9,170
295,22,13.3,0,0.22,17.77,3.85,27.8,169.5
296,23,12.2,0,0.19,17.85,3.87,29.4,164.4
297,24,11.1,0,0.16,17.86,4.52,28.9,164.4
298,25,12.2,0,0.15,18.07,4.1,28.3,164.4
299,26,11.7,0,0.22,17.67,4.16,27.8,164.4
300,27,12.2,0,0.26,17.5,3.47,27.2,164.4
301,28,11.7,0,0.32,17.18,3.82,26.7,164.4
302,29,12.2,0,0.25,17.04,4.52,27.8,163.8
303,30,11.7,0,0.2,17.17,3.81,27.2,158.7
304,31,11.1,0,0.23,16.92,3.6,26.7,158.1
305,1,10.6,0,0.24,16.44,3.51,26.7,153
306,2,11.7,0,0.23,16.55,4.02,27.2,152.7
307,3,11.1,0,0.32,16.16,3.18,27.2,150.2
308,4,10,0,0.35,15.7,3.8,25.6,150.2
309,5,10.6,0,0.22,16.2,4.05,26.1,150.2
310,6,10,0,0.23,16.04,3.93,26.7,149.9
311,7,10,0,0.17,15.98,3.97,27.2,147.4
312,8,9.4,0,0.15,16.04,4.39,25.6,147.4
313,9,10,0,0.16,16.14,4.16,23.3,147.4
314,10,8.9,0,0.21,15.79,3.9,22.2,147.1
315,11,9.4,0,0.22,15.59,4.1,23.9,144.5
316,12,8.9,0,0.21,15.46,3.81,18.9,144.2
317,13,10,0,0.2,15.42,4.02,22.2,141.4
318,14,8.3,0,0.17,15.42,3.63,25,138.9
319,15,8.9,0,0.2,15.25,4.02,24.4,138.6
320,16,7.8,0,0.17,15.05,3.88,24.4,136
321,17,7.8,0,0.18,13.78,3.58,25.6,136
322,18,8.9,0,0.22,13.9,3.13,23.3,135.7
323,19,6.7,0,0.27,12.8,3.06,22.8,133.2
324,20,7.2,0,0.35,14.38,3.49,23.9,133.2
325,21,6.7,0,0.12,14.84,3.81,23.3,133.2
326,22,5.6,0,0.21,14.76,3.45,22.8,132.9
327,23,5.6,0,0.35,13.56,3.76,22.2,130.4
328,24,7.2,0,0.26,14.55,4.18,22.8,130.4
329,25,7.8,0,0.22,14.37,3.63,22.2,130.1
330,26,8.9,0,0.24,14.18,3.82,21.7,127.5
331,27,8.9,0,0.32,13.98,3.17,20,127.5
332,28,5.6,0,0.35,13.8,3.91,22.2,127.2
333,29,5,0,0.21,13.97,3.32,21.7,124.7
334,30,5.6,0,0.31,12.5,3.33,21.1,124.7
335,1,5.6,0,0.39,13.56,2.96,20,124.7
336,2,5,0,0.35,13.57,2.99,19.4,124.7
337,3,4.4,0,0.32,13.61,3.31,21.1,123.6
338,4,5,0,0.35,13.46,3.25,21.7,123.3
339,5,5,0,0.43,13.04,3.68,21.1,123
340,6,5.6,0,0.31,13.31,3.61,22.2,121.9
341,7,5,0,0.39,13.32,3.37,22.8,121.9
342,8,5.6,0,0.3,12.2,4.18,22.2,121.9
343,9,4.4,0,0.23,13.35,4.4,20,120.4
344,10,5.6,0,0.08,12.14,3.79,22.2,120.4
345,11,5.6,0,0.06,12.75,3.75,21.1,120.4
346,12,5,0,0.12,12.5,3.5,21.7,120.4
347,13,5.6,0,0.17,10.83,3.36,22.2,120.4
348,14,7.8,0,0.76,3.84,2.77,22.2,120.4
349,15,6.7,0,0.47,12.04,3.51,23.3,120.4
350,16,4.4,0,0.53,12.98,2.16,21.1,120.4
351,17,7.8,0,0.66,4,2.32,22.2,120.4
352,18,5.6,0,0.53,12.41,2.82,23.3,119
353,19,7.8,0,0.54,13.63,3.67,22.2,119
354,20,5.6,0,0.65,11.67,2.44,21.1,119
355,21,6.7,0,0.49,13.45,3.54,18.9,119
356,22,7.8,10,0.29,14.03,3.73,18.9,119
357,23,5.6,4.5,0.45,13,3.49,16.7,119
358,24,6.7,0,0.37,0.08,5.92,15.6,119
359,25,6.7,0,0.31,14.05,2.81,12.2,119
360,26,5.6,7,0.33,13.63,4.04,8.9,119.3
361,27,5.6,0,0.29,13.88,3.7,15.6,121.6
362,28,4.4,0,0.28,13.52,3.67,14.4,119
363,29,3.3,0,0.25,12.87,3.43,13.3,119
